Filename,GIC,Date,Label,Return,Prediction
201050_1622174400000_0.27.png,201050,2021-05-28,3,0.0027,1
201020_1622174400000_-1.02.png,201020,2021-05-28,1,-0.0102,5
202010_1622174400000_1.1.png,202010,2021-05-28,4,0.011000000000000001,1
202020_1622174400000_0.41.png,202020,2021-05-28,3,0.0040999999999999995,0
101020_1622174400000_7.47.png,101020,2021-05-28,5,0.0747,0
151010_1622174400000_1.49.png,151010,2021-05-28,4,0.0149,1
252020_1622174400000_-2.53.png,252020,2021-05-28,0,-0.0253,1
302010_1622174400000_2.85.png,302010,2021-05-28,5,0.0285,4
402010_1622174400000_-0.48.png,402010,2021-05-28,2,-0.0048,1
451020_1622174400000_0.92.png,451020,2021-05-28,4,0.0092,5
101010_1622174400000_15.98.png,101010,2021-05-28,5,0.1598,5
551040_1622174400000_-0.43.png,551040,2021-05-28,2,-0.0043,0
201070_1622174400000_-1.08.png,201070,2021-05-28,1,-0.0108,5
151040_1622174400000_0.31.png,151040,2021-05-28,3,0.0031,5
255030_1622174400000_3.07.png,255030,2021-05-28,5,0.030699999999999998,4
501020_1622174400000_2.98.png,501020,2021-05-28,5,0.0298,1
401010_1622174400000_0.18.png,401010,2021-05-28,3,0.0018,1
255020_1622174400000_3.13.png,255020,2021-05-28,5,0.0313,0
452020_1622174400000_4.37.png,452020,2021-05-28,5,0.0437,1
255040_1622174400000_-0.76.png,255040,2021-05-28,1,-0.0076,5
201030_1622174400000_1.75.png,201030,2021-05-28,5,0.0175,5
201060_1622174400000_1.56.png,201060,2021-05-28,5,0.015600000000000001,1
551030_1622174400000_0.36.png,551030,2021-05-28,3,0.0036,4
301010_1622174400000_2.2.png,301010,2021-05-28,5,0.022000000000000002,4
151020_1622174400000_-0.81.png,151020,2021-05-28,1,-0.008100000000000001,5
451030_1622174400000_0.85.png,451030,2021-05-28,4,0.0085,0
551010_1622174400000_0.98.png,551010,2021-05-28,4,0.0098,0
151050_1622174400000_-0.02.png,151050,2021-05-28,2,-0.0002,4
252010_1622174400000_-0.99.png,252010,2021-05-28,1,-0.009899999999999999,4
252030_1622174400000_-1.88.png,252030,2021-05-28,0,-0.018799999999999997,5
151030_1622174400000_0.88.png,151030,2021-05-28,4,0.0088,1
351020_1622174400000_-0.01.png,351020,2021-05-28,2,-0.0001,0
303010_1622174400000_-0.1.png,303010,2021-05-28,2,-0.001,5
